title,author,paperlink,codelink,nickname,conference,type,subtype,time,ID
Do Multilingual Language Models Think Better in English?,Etxaniz et al,https://arxiv.org/abs/2308.01223,https://github.com/juletx/self-translate,,Arxiv,PFA,translation,2023,etxaniz2023multilingual
Not All Languages Are Created Equal in LLMs: Improving Multilingual Capability by Cross-Lingual-Thought Prompting,Huang et al,https://arxiv.org/abs/2305.07004,https://github.com/microsoft/unilm,,Arxiv,PFA,translation,2023,huang2023not
Cross-lingual Prompting: Improving Zero-shot Chain-of-Thought Reasoning across Languages,Qin et al,https://arxiv.org/abs/2310.14799,https://github.com/LightChen233/cross-lingual-prompting,,Arxiv,PFA,translation,2023,qin2023crosslingual
DecoMT: Decomposed Prompting for Machine Translation Between Related Languages using Large Language Models,Puduppully et al,https://aclanthology.org/2023.emnlp-main.279/,https://github.com/ratishsp/DecoMT,,EMNLP,PFA,translation,2023,puduppully2023decomt
Multilingual LLMs are Better Cross-lingual In-context Learners with Alignment,Tanwar et al,https://arxiv.org/abs/2305.05940,https://github.com/EshaanT/X-InSTA,,Arxiv,PFA,translation,2023,tanwar2023multilingual
Improving Machine Translation with Large Language Models: A Preliminary Study with Cooperative Decoding,Zeng et al,https://arxiv.org/abs/2311.02851,https://github.com/lemon0830/CoDec,,Arxiv,PFA,translation,2023,zeng2023improving
BUFFET: Benchmarking Large Language Models for Few-shot Cross-lingual Transfer,Asai et al,https://arxiv.org/abs/2305.14857,https://buffetfs.github.io/,,Arxiv,PFA,translation,2023,asai2023buffet
On Bilingual Lexicon Induction with Large Language Models,Li et al,https://arxiv.org/abs/2310.13995,https://github.com/cambridgeltl/prompt4bli,,Arxiv,PFA,translation,2023,li2023bilingual
Prompting large language model for machine translation: A case study,Zhang et al,https://arxiv.org/abs/2301.07069,,,Arxiv,PFA,translation,2023,zhang2023prompting
Adaptive machine translation with large language models,Moslem et al,https://arxiv.org/abs/2301.13294,https://github.com/ymoslem/Adaptive-MT-LLM,,Arxiv,PFA,translation,2023,moslem2023adaptive
Leveraging GPT-4 for Automatic Translation Post-Editing,Raunak et al,https://arxiv.org/abs/2305.14878,,,Arxiv,PFA,translation,2023,raunak2023leveraging
SCALE: Synergized Collaboration of Asymmetric Language Translation Engines,Cheng et al,https://arxiv.org/abs/2309.17061,https://github.com/Hannibal046/SCALE,,Arxiv,PFA,translation,2023,cheng2023scale
Document-Level Language Models for Machine Translation,Petrick et al,https://arxiv.org/abs/2310.12303,,,Arxiv,PFA,translation,2023,petrick2023document
On-the-Fly Fusion of Large Language Models and Machine Translation,Hoang et al,https://arxiv.org/abs/2311.08306,,,Arxiv,PFA,translation,2023,hoang2023fly
Breaking Language Barriers with a LEAP: Learning Strategies for Polyglot LLMs,Nambi et al,https://arxiv.org/abs/2305.17740,,,Arxiv,PFA,translation,2023,nambi2023breaking
Exploring Prompt Engineering with GPT Language Models for Document-Level Machine Translation: Insights and Findings,Wu et al,https://aclanthology.org/2023.wmt-1.15/,https://github.com/wmt-conference/wmt23-news-systems,,WMT,PFA,translation,2023,wu2023exploring
Interactive-Chain-Prompting: Ambiguity Resolution for Crosslingual Conditional Generation with Interaction,Pilault et al,https://arxiv.org/abs/2301.10309,https://github.com/jpilaul/interactive_chain_prompting,,Arxiv,PFA,translation,2023,pilault2023interactive
Bidirectional Language Models Are Also Few-shot Learners,Patel et al,https://arxiv.org/abs/2209.14500,,,Arxiv,PFA,translation,2022,patel2022bidirectional
CLASP: Few-Shot Cross-Lingual Data Augmentation for Semantic Parsing,Rosenbaum et al,https://aclanthology.org/2022.aacl-short.56,,,ACL,PFA,translation,2022,rosenbaum2022clasp
Evaluating task understanding through multilingual consistency: A ChatGPT case study,Ohmer et al,https://arxiv.org/abs/2305.11662v3,https://github.com/XeniaOhmer/multisense_consistency,,Arxiv,PFA,translation,2023,ohmer2023evaluating
Empowering Multi-step Reasoning across Languages via Tree-of-Thoughts,Ranaldi et al,https://arxiv.org/abs/2311.08097,,,Arxiv,PFA,translation,2023,ranaldi2023empowering
Xricl: Cross-lingual retrieval-augmented in-context learning for cross-lingual text-to-sql semantic parsing,Shi et al,https://aclanthology.org/2022.findings-emnlp.384,https://github.com/Impavidity/XRICL,,ACL,PFA,retrieval,2022,shi2022xricl
In-context examples selection for machine translation,Agrawal et al,https://arxiv.org/abs/2212.02437,,,Arxiv,PFA,retrieval,2022,agrawal2022context
From Classification to Generation: Insights into Crosslingual Retrieval Augmented ICL,Li et al,https://arxiv.org/abs/2311.06595,,,Arxiv,PFA,retrieval,2023,li2023classification
Crosslingual Retrieval Augmented In-context Learning for Bangla,Li et al,https://arxiv.org/abs/2311.00587,,,Arxiv,PFA,retrieval,2023,li2023crosslingual
Boosting Cross-lingual Transferability in Multilingual Models via In-Context Learning,Kim et al,https://arxiv.org/abs/2305.15233,,,Arxiv,PFA,retrieval,2023,kim2023boosting
NoMIRACL: Knowing When You Don't Know for Robust Multilingual Retrieval-Augmented Generation,Thakur et al,https://arxiv.org/abs/2312.11361,https://github.com/project-miracl/nomiracl,,Arxiv,PFA,retrieval,2023,thakur2023nomiracl
LMCap: Few-shot Multilingual Image Captioning by Retrieval Augmented Language Model Prompting,Ramos et al,https://arxiv.org/abs/2305.19821,https://github.com/RitaRamo/lmcap,,Arxiv,PFA,retrieval,2023,ramos2023lmcap
Multilingual Few-Shot Learning via Language Model Retrieval,Winata et al,https://arxiv.org/abs/2306.10964,,,Arxiv,PFA,retrieval,2023,winata2023multilingual
The unreasonable effectiveness of few-shot learning for machine translation,Garcia et al,https://arxiv.org/abs/2302.01398,,,Arxiv,PFA,retrieval,2023,garcia2023unreasonable
Exploring Human-Like Translation Strategy with Large Language Models,He et al,https://arxiv.org/abs/2305.04118,https://github.com/zwhe99/MAPS-mt,,Arxiv,PFA,retrieval,2023,he2023exploring
Leveraging Multilingual Knowledge Graph to Boost Domain-specific Entity Translation of ChatGPT,Zhang et al,https://aclanthology.org/2023.mtsummit-users.7/,,,MTSummit,PFA,retrieval,2023,zhang2023leveraging
Increasing Coverage and Precision of Textual Information in Multilingual Knowledge Graphs,Conia et al,https://arxiv.org/abs/2311.15781,,,EMNLP,PFA,retrieval,2023,conia2023increasing
Language Representation Projection: Can We Transfer Factual Knowledge across Languages in Multilingual Language Models?,Xu et al,https://arxiv.org/abs/2311.03788,,,EMNLP,PFA,retrieval,2023,xu2023language
Enhancing Multilingual Information Retrieval in Mixed Human Resources Environments: A RAG Model Implementation for Multicultural Enterprise,Ahmad et al,https://arxiv.org/abs/2401.01511,,,Arxiv,PFA,retrieval,2024,ahmad2024enhancing
